altname,cr,cr_r,cr_l,method,r25_NED,altname,crs,cover_CR,far_cr,cr_number,consistence,Spiral_type,Hubble_type,Bar,dist_Mpc
2MASX J14192411+4554021,[12.52978723],[43.36214886],[4.06934177],['T-W'],[18.155],['2MASX J14192411+4554021'],"[(0.22414441060919713, 2.38844113816591)]",2.164296727556713,2.38844113816591,1,Nan,Nan,S0-a,True,119.67405313072443
2MASX J14213483+4021294,[24.0458771],[37.48447893],[15.51925967],['T-W'],[20.73],['2MASX J14213483+4021294'],"[(0.7486377071651238, 1.8082237785050361)]",1.0595860713399123,1.8082237785050361,1,Nan,Nan,S?,False,285.75905433749494
CGCG 008-010,[21.9],[23.5],[20.3],['gaps'],[26.14],['CGCG 008-010'],"[(0.7765876052027544, 0.8990053557765876)]",0.1224177505738332,0.8990053557765876,1,Nan,Nan,Sb,False,161.9571030955037
CGCG 013-075,[12.6        21.19843157],[13.2        21.19843157],[12.         21.19843157],"['gaps', 'rings']","[26.15, 26.15]","['CGCG 013-075', 'CGCG 013-075']","[(0.45889101338432126, 0.5047801147227533), (0.8106474787786333, 0.8106474787786333)]",0.04588910133843205,0.8106474787786333,2,14.330719283435458,Nan,S0-a,True,112.30523475410853
CGCG 039-041,[21.2874844],[21.2874844],[21.2874844],['rings'],[32.9],['CGCG 039-041'],"[(0.647035999880663, 0.647035999880663)]",0.0,0.647035999880663,1,Nan,Nan,S0-a,True,126.41540489485809
CGCG 065-002,[12.9],[13.6],[12.2],['gaps'],[23.225],['CGCG 065-002'],"[(0.5252960172228202, 0.5855758880516684)]",0.060279870828848225,0.5855758880516684,1,Nan,Nan,S0-a,True,80.79788636830875
CGCG 067-004,[13.5],[14.4],[12.6],['gaps'],[19.93],['CGCG 067-004'],"[(0.6322127446061214, 0.7225288509784246)]",0.09031610637230314,0.7225288509784246,1,Nan,Nan,SBa,True,188.53847936139465
CGCG 073-053,[10.3],[10.6],[10.],['gaps'],[19.8],['CGCG 073-053'],"[(0.5050505050505051, 0.5353535353535354)]",0.030303030303030276,0.5353535353535354,1,Nan,Nan,S0,False,105.00258721108852
CGCG 106-036,[17.7],[18.9],[16.5],['gaps'],[24.0],['CGCG 106-036'],"[(0.6875, 0.7875)]",0.09999999999999998,0.7875,1,Nan,Nan,Sbc,False,105.00258721108852
CGCG 161-122,[11.41009164],[13.33448023],[9.70709288],['T-W'],[24.95],['CGCG 161-122'],"[(0.38906183906251135, 0.5344481052385025)]",0.14538626617599115,0.5344481052385025,1,Nan,Nan,SBb,True,129.53883889748872
CGCG 180-062,[22.4844258],[22.4844258],[22.4844258],['rings'],[26.15],['CGCG 180-062'],"[(0.85982507836574, 0.85982507836574)]",0.0,0.85982507836574,1,Nan,Nan,Sab,True,97.09570065288246
CGCG 185-014,[11.4],[11.6],[11.2],['gaps'],[31.105],['CGCG 185-014'],"[(0.36007072817874936, 0.37293039704227615)]",0.012859668863526796,0.37293039704227615,1,Nan,Nan,Sa,True,115.98451211901681
CGCG 197-024,[2.47613879],[2.89113412],[2.06114346],['T-W'],[29.72],['CGCG 197-024'],"[(0.06935206796997896, 0.0972790752062121)]",0.027927007236233134,0.0972790752062121,1,Nan,Nan,SBbc,True,160.69412530128787
CGCG 206-027,[6.16412885],[7.6492687],[4.88658919],['T-W'],[20.71],['CGCG 206-027'],"[(0.2359531236087647, 0.3693514581980336)]",0.13339833458926892,0.3693514581980336,1,Nan,Nan,SBb,True,138.16562311673272
CGCG 208-013,[15.53201062],[15.53201062],[15.53201062],['rings'],[22.075],['CGCG 208-013'],"[(0.7036018402948712, 0.7036018402948712)]",0.0,0.7036018402948712,1,Nan,Nan,SBab,True,111.0708255918865
CGCG 213-005,[10.40054889],[32.12570299],[5.99653575],['T-W'],[31.07],['CGCG 213-005'],"[(0.19300082869124965, 1.0339782101032853)]",0.8409773814120356,1.0339782101032853,1,Nan,Nan,SBa,True,109.84998450583755
CGCG 218-022,[5.60211183],[6.55100373],[4.85394705],['T-W'],[22.915],['CGCG 218-022'],"[(0.21182400412841276, 0.28588277248909844)]",0.07405876836068567,0.28588277248909844,1,Nan,Nan,Sbc,False,121.50663676334169
CGCG 223-023,[27.70501662],[104.14369568],[11.35367471],['T-W'],[14.7],['CGCG 223-023'],"[(0.7723588238658387, 7.084605148484956)]",6.312246324619117,7.084605148484956,1,Nan,Nan,SBbc,True,174.5822152920504
CGCG 224-065,[21.67026644],[63.36596701],[14.42022888],['T-W'],[23.3],['CGCG 224-065'],"[(0.6188939435206566, 2.7195693996566623)]",2.1006754561360057,2.7195693996566623,1,Nan,Nan,SBb,True,138.16562311673272
CGCG 224-086,[12.08125654],[14.25687163],[9.90564145],['T-W'],[32.445],['CGCG 224-086'],"[(0.30530563861935617, 0.43941660134067084)]",0.13411096272131467,0.43941660134067084,1,Nan,Nan,SBc,True,134.46213415344886
CGCG 225-011,[4.10419959],[9.28544559],[2.26832502],['T-W'],[28.985],['CGCG 225-011'],"[(0.0782585827168333, 0.3203534788912097)]",0.2420948961743764,0.3203534788912097,1,Nan,Nan,SBc,True,285.75905433749494
CGCG 240-051,[4.05011923],[10.00733343],[2.33963198],['T-W'],[18.335],['CGCG 240-051'],"[(0.1276046893999237, 0.545804931971102)]",0.4182002425711783,0.545804931971102,1,Nan,Nan,Sc,False,112.30523475410853
CGCG 241-058,[5.87534569],[11.75069139],[3.74659725],['T-W'],[19.74],['CGCG 241-058'],"[(0.18979722663166115, 0.5952731198902099)]",0.40547589325854877,0.5952731198902099,1,Nan,Nan,Sb,False,131.40140230390398
CGCG 241-078,[7.60871913],[8.55243623],[6.66500203],['T-W'],[20.325],['CGCG 241-078'],"[(0.3279213789657712, 0.42078407035430815)]",0.09286269138853692,0.42078407035430815,1,Nan,Nan,SBb,True,112.30523475410853
CGCG 244-013,[21.23363478],[21.23363478],[21.23363478],['rings'],[33.875],['CGCG 244-013'],"[(0.6268231668726246, 0.6268231668726246)]",0.0,0.6268231668726246,1,Nan,Nan,SBb,True,112.30523475410853
CGCG 250-045,[3.74848948],[4.92792075],[2.77925388],['T-W'],[26.38],['CGCG 250-045'],"[(0.1053545823699848, 0.1868051838661075)]",0.08145060149612271,0.1868051838661075,1,Nan,Nan,SBbc,True,195.61402981256484
