,name,method,bar,kind,bands,link,paper_name,cr,err_cr_l,err_cr_r,cr_l,cr_r,err_range,altname,r25,r25_NED
0,NGC428,F-B,False,ISM,"Halpha, HI",,F-B works,5.8,2.2,2.2,3.6,8.0,4.4,NGC 0428,84.5514879379336,122.2
1,NGC428,F-B,False,ISM,"Halpha, HI",,F-B works,17.6,3.1,3.1,14.500000000000002,20.700000000000003,6.2,NGC 0428,84.5514879379336,122.2
2,NGC428,F-B,False,ISM,"Halpha, HI",,F-B works,59.5,3.9,3.9,55.6,63.4,7.8,NGC 0428,84.5514879379336,122.2
3,NGC428,F-B,False,ISM,"Halpha, HI",,F-B works,115.6,2.2,2.2,113.4,117.8,4.4,NGC 0428,84.5514879379336,122.2
4,NGC428,F-B,False,ISM,"Halpha, HI",,F-B works,144.7,2.2,2.2,142.5,146.89999999999998,4.4,NGC 0428,84.5514879379336,122.2
5,NGC3344,F-B,False,ISM,"Halpha, HI",,F-B works,58.7,3.8,3.8,54.900000000000006,62.5,7.6,NGC 3344,200.965382824958,212.4
6,NGC3344,F-B,False,ISM,"Halpha, HI",,F-B works,74.4,1.9,1.9,72.5,76.30000000000001,3.8,NGC 3344,200.965382824958,212.4
7,NGC3344,F-B,False,ISM,"Halpha, HI",,F-B works,102.8,2.3,2.3,100.5,105.1,4.6,NGC 3344,200.965382824958,212.4
8,NGC3344,F-B,False,ISM,"Halpha, HI",,F-B works,127.3,2.3,2.3,125.0,129.6,4.6,NGC 3344,200.965382824958,212.4
9,NGC3726,F-B,False,ISM,"Halpha, HI",,F-B works,25.2,2.8,2.8,22.4,28.0,5.6,NGC 3726,169.48109244369078,185.0
10,NGC3726,F-B,False,ISM,"Halpha, HI",,F-B works,63.0,2.9,2.9,60.1,65.9,5.8,NGC 3726,169.48109244369078,185.0
11,NGC3726,F-B,False,ISM,"Halpha, HI",,F-B works,100.1,3.2,3.2,96.9,103.3,6.4,NGC 3726,169.48109244369078,185.0
12,NGC3726,F-B,False,ISM,"Halpha, HI",,F-B works,122.4,3.2,3.2,119.2,125.6,6.4,NGC 3726,169.48109244369078,185.0
13,NGC5427,F-B,False,ISM,"Halpha, HI",,F-B works,15.7,2.3,2.3,13.4,18.0,4.6,NGC 5427,108.1735929064927,84.55
14,NGC5427,F-B,False,ISM,"Halpha, HI",,F-B works,23.5,0.8,0.8,22.7,24.3,1.6,NGC 5427,108.1735929064927,84.55
15,NGC5427,F-B,False,ISM,"Halpha, HI",,F-B works,47.3,2.1,2.1,45.2,49.4,4.2,NGC 5427,108.1735929064927,84.55
16,NGC5427,F-B,False,ISM,"Halpha, HI",,F-B works,64.5,0.9,0.9,63.6,65.4,1.8,NGC 5427,108.1735929064927,84.55
17,NGC5676,F-B,False,ISM,"Halpha, HI",,F-B works,18.4,1.9,1.9,16.5,20.3,3.8,NGC 5676,107.67658039350157,119.45
18,NGC5676,F-B,False,ISM,"Halpha, HI",,F-B works,32.1,1.7,1.7,30.4,33.800000000000004,3.4,NGC 5676,107.67658039350157,119.45
19,NGC5676,F-B,False,ISM,"Halpha, HI",,F-B works,54.4,2.4,2.4,52.0,56.8,4.8,NGC 5676,107.67658039350157,119.45
20,NGC5676,F-B,False,ISM,"Halpha, HI",,F-B works,76.5,4.6,4.6,71.9,81.1,9.2,NGC 5676,107.67658039350157,119.45
21,NGC7479,F-B,False,ISM,"Halpha, HI",,F-B works,13.2,2.8,2.8,10.4,16.0,5.6,NGC 7479,109.42618407768236,122.2
22,NGC7479,F-B,False,ISM,"Halpha, HI",,F-B works,35.3,5.2,5.2,30.1,40.5,10.4,NGC 7479,109.42618407768236,122.2
23,NGC7479,F-B,False,ISM,"Halpha, HI",,F-B works,55.8,4.8,4.8,51.0,60.6,9.6,NGC 7479,109.42618407768236,122.2
24,NGC7479,F-B,False,ISM,"Halpha, HI",,F-B works,80.8,4.9,4.9,75.89999999999999,85.7,9.8,NGC 7479,109.42618407768236,122.2
25,NGC7479,F-B,False,ISM,"Halpha, HI",,F-B works,98.3,3.1,3.1,95.2,101.4,6.2,NGC 7479,109.42618407768236,122.2
26,NGC7479,F-B,False,ISM,"Halpha, HI",,F-B works,123.1,3.0,3.0,120.1,126.1,6.0,NGC 7479,109.42618407768236,122.2
27,NGC7741,F-B,False,ISM,"Halpha, HI",,F-B works,36.8,3.6,3.6,33.2,40.4,7.2,NGC 7741,108.92341643103042,130.95
28,NGC7741,F-B,False,ISM,"Halpha, HI",,F-B works,66.3,1.9,1.9,64.39999999999999,68.2,3.8,NGC 7741,108.92341643103042,130.95
29,NGC7741,F-B,False,ISM,"Halpha, HI",,F-B works,77.4,4.5,4.5,72.9,81.9,9.0,NGC 7741,108.92341643103042,130.95
30,NGC7741,F-B,False,ISM,"Halpha, HI",,F-B works,95.3,2.7,2.7,92.6,98.0,5.4,NGC 7741,108.92341643103042,130.95
31,NGC4321,F-B,False,ISM,"Halpha, HI",,F-B works,31.8,3.4,3.4,28.4,35.2,6.8,MESSIER 100,182.86106917205072,222.4
32,NGC4321,F-B,False,ISM,"Halpha, HI",,F-B works,33.1,10.6,10.6,22.5,43.7,21.2,MESSIER 100,182.86106917205072,222.4
33,NGC4321,F-B,False,ISM,"Halpha, HI",,F-B works,76.5,6.8,6.8,69.7,83.3,13.6,MESSIER 100,182.86106917205072,222.4
34,NGC4321,F-B,False,ISM,"Halpha, HI",,F-B works,108.8,10.3,10.3,98.5,119.1,20.6,MESSIER 100,182.86106917205072,222.4
35,NGC4321,F-B,False,ISM,"Halpha, HI",,F-B works,97.0,2.2,2.2,94.8,99.2,4.4,MESSIER 100,182.86106917205072,222.4
36,NGC4321,F-B,False,ISM,"Halpha, HI",,F-B works,123.5,2.1,2.1,121.4,125.6,4.2,MESSIER 100,182.86106917205072,222.4
37,NGC4321,F-B,False,ISM,"Halpha, HI",,F-B works,147.9,10.7,10.7,137.20000000000002,158.6,21.4,MESSIER 100,182.86106917205072,222.4
38,NGC4321,F-B,False,ISM,"Halpha, HI",,F-B works,166.3,6.0,6.0,160.3,172.3,12.0,MESSIER 100,182.86106917205072,222.4
39,NGC4321,F-B,False,ISM,"Halpha, HI",,F-B works,188.2,9.5,9.5,178.7,197.7,19.0,MESSIER 100,182.86106917205072,222.4
40,UGC508,F-B,False,ISM,"Halpha, HI",,F-B works,7.98,1.8,1.8,6.180000000000001,9.78,3.6,NGC 0266,85.13757085324671,88.55
41,UGC508,F-B,False,ISM,"Halpha, HI",,F-B works,25.6,1.8,1.8,23.8,27.4,3.6,NGC 0266,85.13757085324671,88.55
42,UGC508,F-B,False,ISM,"Halpha, HI",,F-B works,37.3,2.4,2.4,34.9,39.7,4.8,NGC 0266,85.13757085324671,88.55
43,UGC508,F-B,False,ISM,"Halpha, HI",,F-B works,51.8,2.3,2.3,49.5,54.1,4.6,NGC 0266,85.13757085324671,88.55
44,UGC508,F-B,False,ISM,"Halpha, HI",,F-B works,65.9,4.1,4.1,61.8,70.0,8.2,NGC 0266,85.13757085324671,88.55
45,UGC763,F-B,False,ISM,"Halpha, HI",,F-B works,40.6,3.7,3.7,36.9,44.3,7.4,NGC 0428,84.5514879379336,122.2
46,UGC763,F-B,False,ISM,"Halpha, HI",,F-B works,51.9,1.9,1.9,50.0,53.8,3.8,NGC 0428,84.5514879379336,122.2
47,UGC763,F-B,False,ISM,"Halpha, HI",,F-B works,98.6,1.9,1.9,96.7,100.5,3.8,NGC 0428,84.5514879379336,122.2
48,UGC763,F-B,False,ISM,"Halpha, HI",,F-B works,129.1,1.9,1.9,127.2,131.0,3.8,NGC 0428,84.5514879379336,122.2
49,UGC1256,F-B,False,ISM,"Halpha, HI",,F-B works,10.9,1.9,1.9,9.0,12.8,3.8,NGC 0672,210.43658952599145,217.35
50,UGC1256,F-B,False,ISM,"Halpha, HI",,F-B works,36.6,3.0,3.0,33.6,39.6,6.0,NGC 0672,210.43658952599145,217.35
