,name,objname,incl,False
0,2MASX J14192411+4554021,PGC2272149,56.59,False
1,2MASX J14213483+4021294,PGC2164620,73.46,False
2,CGCG 008-010,PGC028891,56.08,False
3,CGCG 013-075,PGC038372,54.61,False
4,CGCG 035-083,PGC028556,24.36,False
5,CGCG 039-041,PGC033929,71.82,False
6,CGCG 040-024,PGC036206,35.4,False
7,CGCG 046-017,PGC049668,23.19,False
8,CGCG 049-051,PGC054319,30.88,False
9,CGCG 065-002,PGC030244,65.3,False
10,CGCG 067-004,PGC033713,64.2,False
11,CGCG 073-053,PGC048114,40.3,False
12,CGCG 073-095,PGC049401,32.37,False
13,CGCG 093-054,PGC029467,38.54,False
14,CGCG 104-043,PGC052017,38.52,False
15,CGCG 106-036,PGC054897,0,False
16,CGCG 124-010,PGC030326,35.15,False
17,CGCG 137-046,PGC057296,16.85,False
18,CGCG 159-061,PGC042786,36.51,False
19,CGCG 161-122,PGC048479,54.61,False
20,CGCG 166-020,PGC055581,18.2,False
21,CGCG 180-046,PGC025807,17.86,False
22,CGCG 180-062,PGC026049,36.99,False
23,CGCG 184-021,PGC032457,23.58,False
24,CGCG 185-010,PGC033720,27.56,False
25,CGCG 185-014,PGC033872,67.54,False
26,CGCG 197-024,PGC059402,36.81,False
27,CGCG 206-027,PGC021838,57.1,False
28,CGCG 208-013,PGC023948,21.3,False
29,CGCG 213-005,PGC032794,41.97,False
30,CGCG 218-022,PGC047741,41.96,False
31,CGCG 223-023,PGC056550,41.05,False
32,CGCG 224-065,PGC058413,49.7,False
33,CGCG 224-086,PGC058733,72.1,False
34,CGCG 224-093,PGC058800,38.34,False
35,CGCG 225-011,PGC059266,43.38,False
36,CGCG 240-051,PGC030958,62.84,False
37,CGCG 241-058,PGC033217,46.71,False
38,CGCG 241-078,PGC033611,63.48,False
39,CGCG 244-013,PGC040522,38.01,False
40,CGCG 244-034,PGC042124,38.33,False
41,CGCG 250-045,PGC057026,64.43,False
42,CGCG 251-011,PGC057933,30.36,False
43,CGCG 263-022,PGC023343,44.2,False
44,CGCG 263-062,PGC024194,65.36,False
45,CGCG 266-013,PGC029182,27.83,False
46,CGCG 266-046,PGC030830,20.98,False
47,CGCG 291-066,PGC035104,34.21,False
48,CGCG 294-048,PGC047820,31.71,False
49,CGCG 390-059,PGC012425,42.36,False
50,CGCG 390-083,PGC012732,82.14,False
51,ESO 138- G 010,ESO138-010,49.2,False
52,ESO 139- G 009,ESO139-009,41.62,False
53,ESO 281- G 031,ESO281-031,59.27,False
54,ESO 325- G 028,ESO325-028,17.27,False
55,ESO 365- G 035,ESO365-035,40.87,False
56,ESO 426- G 002,ESO426-002,26.54,False
57,ESO 437- G 033,ESO437-033,50.94,False
58,ESO 437- G 067,ESO437-067,63.35,False
