,name,pgc,objname,hl_names(pgc),objtype,celposb(pgc),al2000,de2000,celposj(pgc),type,bar,ring,multiple,compactness,t,e_t,logd25,e_logd25,logr25,e_logr25,pa,ut,e_ut,bt,e_bt,vt,e_vt,it,e_it,kt,e_kt,ube,bve,vmaxg,e_vmaxg,vmaxs,e_vmaxs,vdis,e_vdis,logdc,modz,e_modz,mod0,mabs,False
0,2MASX J14192411+4554021,2272149,PGC2272149,"2MASXJ14192411+4554021,PGC2272149,SDSSJ141924.05+455402.7,SDSSJ141924.05+455402.8,SDSSJ141924.06+455402.7,SDSSJ141924.06+455402.8",G,B141729.6+460747,14.3233525,45.9007184,J141924.1+455403,S0-a,B,R,,,0,2,0.673,0.086,0.199,0.027,135.41,17.298,0.011,16.006,0.5,,,14.818,0.055,12.54,0.058,,,,,,,,,0.668,35.39,0.132,,-19.621,False
1,2MASX J14213483+4021294,2164620,PGC2164620,"2MASXJ14213483+4021294,PGC2164620,SDSSJ142134.86+402129.1,SDSSJ142134.87+402129.2",G,B141933.9+403508,14.3596831,40.3580951,J142134.9+402129,S?,,,,,1.1,4.5,0.744,0.082,0.375,0.032,85.69,17.718,0.25,16.571,0.37,,,15.177,0.068,12.7,0.094,,,,,,,,,0.736,37.28,0.056,,-21.346,False
2,CGCG 008-010,28891,PGC028891,"2DFGRSN216Z250,2MASXJ09594227-0208592,CGCG008-010,NPM1G-01.0254,PGC028891,PGC182060,SDSSJ095942.25-020859.6,UZC095712-01550,[ISI96]0957-0154",G,B095709.7-015435,9.9950728,-2.1498412,J095942.3-020859,Sb,,R,,,2.5,1.5,0.8,0.063,0.22,0.028,153.32,,,15.71,0.333,,,13.754,0.074,11.729,0.111,,,,,,,,,0.813,36.047,0.099,,-20.949,False
3,CGCG 013-075,38372,PGC038372,"2DFGRSN179Z081,2MASXJ12060909-0256532,6dFJ1206091-025653,CGCG013-075,MCG+00-31-035,NPM1G-02.0324,PGC038372,SDSSJ120609.11-025653.2,SDSSJ120609.12-025653.2,SDSSJ120609.12-025653.3,UZC120336-02390",G,B120335.3-024011,12.1025323,-2.9480868,J120609.1-025653,S0-a,B,R,,,-0.9,0.9,0.938,0.062,0.174,0.035,130.76,16.483,0.248,15.12,0.32,,,13.678,0.093,11.387,0.052,,,,,,,,,0.944,35.252,0.141,,-20.379,False
4,CGCG 035-083,28556,PGC028556,"2MASXJ09541066+0217135,AGC191383,CGCG035-083,HIPASSJ0954+02,HIPEQJ0954+02a,MCG+01-25-033,PGC028556,SDSSJ095410.68+021713.8,SDSSJ095410.69+021713.9,UZC095142+02310,[EKS2015]RS1326",G,B095135.4+023126,9.9029638,2.2872128,J095410.7+021714,Sc,,,,,4.6,1.7,0.922,0.067,0.038,0.027,,15.962,0.172,14.841,0.271,,,13.947,0.108,12.11,0.2,,,26.24,1.39,,,,,0.941,35.143,0.148,,-20.62,False
5,CGCG 039-041,33929,PGC033929,"2MASXJ11104488+0430386,AGC211244,CGCG039-041,MCG+01-29-009,PGC033929,SDSSJ111044.88+043039.0,SDSSJ111044.89+043039.0,UZC110806+04470",G,B110809.9+044657,11.1791309,4.5108417,J111044.9+043039,S0-a,B,R,,,0.1,0.6,0.81,0.062,0.33,0.028,14.55,16.711,0.011,15.05,0.331,,,13.8,0.084,11.482,0.083,,,32.31,1.68,,,,,0.818,35.509,0.125,,-20.958,False
6,CGCG 040-024,36206,PGC036206,"2MASXJ11401943+0300024,AGC211323,CGCG040-024,MCG+01-30-008,NPM1G+03.0315,PGC036206,SDSSJ114019.40+030002.8,SDSSJ114019.40+030002.9,SDSSJ114019.41+030002.8,UZC113742+03160",G,B113745.3+031641,11.6720582,3.0007847,J114019.4+030003,Sb,B,R,,,3.1,0.6,0.822,0.072,0.082,0.027,,15.937,0.223,15.046,0.494,,,13.635,0.078,11.28,0.056,,,143.13,8.62,,,,,0.828,35.356,0.134,,-20.593,False
7,CGCG 046-017,49668,PGC049668,"2MASXJ13574764+0723467,AGC231575,CGCG046-017,MCG+01-36-005,PGC049668,SDSSJ135747.62+072346.5,SDSSJ135747.63+072346.5,SDSSJ135747.63+072346.6,UZC135518+07390",G,B135518.2+073822,13.963231,7.3963059,J135747.6+072347,Sb,B,,M,,3.5,1.7,0.925,0.06,0.034,0.031,,15.922,0.243,14.686,0.323,,,13.364,0.074,11.045,0.108,,,85.98,4.47,,,,,0.936,35.105,0.151,,-20.657,False
8,CGCG 049-051,54319,PGC054319,"2MASXJ15130963+0751526,AGC250324,CGCG049-051,DRCG32-095,PGC054319,SDSSJ151309.60+075153.0,SDSSJ151309.61+075153.1,UZC151042+08030",G,B151042.8+080304,15.2193407,7.8647879,J151309.6+075153,Sab,,,,,2.1,1.6,0.958,0.057,0.06,0.027,77.15,16.534,0.016,15.168,0.325,,,13.815,0.16,11.697,0.167,,,98.51,5.12,,,,,0.967,36.582,0.077,,-21.753,False
9,CGCG 065-002,30244,PGC030244,"2MASXJ10204127+1358038,AGC200261,CGCG065-002,PGC030244,SDSSJ102041.25+135803.7,SDSSJ102041.26+135803.7,SDSSJ102041.26+135803.8",G,B101800.4+141311,10.3447964,13.9677333,J102041.3+135804,S0-a,B,R,,,0,1.7,0.85,0.067,0.27,0.027,78.62,16.49,0.154,15.453,0.342,,,14.02,0.066,11.699,0.061,,,144.92,4.86,,,,,0.857,34.537,0.195,,-19.462,False
