!! request processed by HyperLeda Wed Nov 24 11:22:14 2021
!! Number of lines in uploaded file: 660
                  name                  |     objname     |      incl       |
2MASX J14192411+4554021                 |  PGC2272149     | 56.59           |
2MASX J14213483+4021294                 |  PGC2164620     | 73.46           |
! 2MASXi J1123068+651507   <No cross identification found>
CGCG 008-010                            |  PGC028891      | 56.08           |
CGCG 013-075                            |  PGC038372      | 54.61           |
CGCG 035-083                            |  PGC028556      | 24.36           |
CGCG 039-041                            |  PGC033929      | 71.82           |
CGCG 040-024                            |  PGC036206      | 35.4            |
CGCG 046-017                            |  PGC049668      | 23.19           |
CGCG 049-051                            |  PGC054319      | 30.88           |
CGCG 065-002                            |  PGC030244      | 65.3            |
CGCG 067-004                            |  PGC033713      | 64.2            |
CGCG 073-053                            |  PGC048114      | 40.3            |
CGCG 073-095                            |  PGC049401      | 32.37           |
CGCG 093-054                            |  PGC029467      | 38.54           |
CGCG 104-043                            |  PGC052017      | 38.52           |
CGCG 106-036                            |  PGC054897      |    0            |
CGCG 124-010                            |  PGC030326      | 35.15           |
CGCG 137-046                            |  PGC057296      | 16.85           |
CGCG 159-061                            |  PGC042786      | 36.51           |
CGCG 161-122                            |  PGC048479      | 54.61           |
CGCG 166-020                            |  PGC055581      | 18.2            |
CGCG 180-046                            |  PGC025807      | 17.86           |
CGCG 180-062                            |  PGC026049      | 36.99           |
CGCG 184-021                            |  PGC032457      | 23.58           |
CGCG 185-010                            |  PGC033720      | 27.56           |
CGCG 185-014                            |  PGC033872      | 67.54           |
CGCG 197-024                            |  PGC059402      | 36.81           |
CGCG 206-027                            |  PGC021838      | 57.1            |
CGCG 208-013                            |  PGC023948      | 21.3            |
CGCG 213-005                            |  PGC032794      | 41.97           |
CGCG 218-022                            |  PGC047741      | 41.96           |
CGCG 223-023                            |  PGC056550      | 41.05           |
CGCG 224-065                            |  PGC058413      | 49.7            |
CGCG 224-086                            |  PGC058733      | 72.1            |
CGCG 224-093                            |  PGC058800      | 38.34           |
CGCG 225-011                            |  PGC059266      | 43.38           |
CGCG 240-051                            |  PGC030958      | 62.84           |
CGCG 241-058                            |  PGC033217      | 46.71           |
CGCG 241-078                            |  PGC033611      | 63.48           |
CGCG 244-013                            |  PGC040522      | 38.01           |
CGCG 244-034                            |  PGC042124      | 38.33           |
CGCG 250-045                            |  PGC057026      | 64.43           |
CGCG 251-011                            |  PGC057933      | 30.36           |
CGCG 263-022                            |  PGC023343      | 44.2            |
CGCG 263-062                            |  PGC024194      | 65.36           |
CGCG 266-013                            |  PGC029182      | 27.83           |
CGCG 266-046                            |  PGC030830      | 20.98           |
CGCG 291-066                            |  PGC035104      | 34.21           |
