,name,s4g_name,NCOMPS,bulge_frac,bulge_m_AB_total,bulge_r_eff,bulge_n,disk_frac,disk_m_AB_total,h_r,mu_0,bar_r
0,NGC 0150,NGC0150,3.0,0.092,13.383,1.202,2.069,0.868,10.949,25.863,20.007,15.75
1,NGC 0157,NGC0157,2.0,0.021,14.124,2.004,1.386,0.979,9.936,32.264,19.475,
2,NGC 0210,NGC0210,3.0,0.291,11.965,5.221,1.423,0.495,11.346,54.106,22.007,56.08
3,NGC 0253,NGC0253,2.0,0.283,7.508,103.928,3.872,0.72,6.502,185.116,19.835,
4,NGC 0289,NGC0289,3.0,,,,,0.918,10.599,18.966,18.985,11.757
5,NGC 0300,NGC0300,1.0,,,,,1.0,8.336,152.158,21.243,
6,NGC 0428,NGC0428,3.0,,,,,0.925,11.762,25.838,20.819,33.421
7,NGC 0488,NGC0488,2.0,0.15,11.625,9.526,2.303,0.85,9.744,34.172,19.407,
8,NGC 0514,NGC0514,2.0,0.026,15.506,2.337,1.168,0.974,11.556,27.631,20.758,
9,UGC 01014,UGC01014,1.0,,,,,1.0,14.666,11.486,21.962,
10,NGC 0578,NGC0578,3.0,,,,,0.952,11.041,36.041,20.82,24.397
11,MESSIER 033,NGC0598,,,,,,,,,,
12,NGC 0613,NGC0613,3.0,0.13,11.609,5.671,0.799,0.746,9.71,45.156,19.979,71.25
13,MESSIER 074,NGC0628,2.0,0.065,12.012,16.249,1.242,0.935,9.117,69.341,20.318,
14,NGC 0685,NGC0685,2.0,,,,,0.961,11.349,38.577,21.276,26.038
15,NGC 0672,NGC0672,2.0,,,,,0.942,10.981,49.668,21.457,54.75
16,IC 0167,IC0167,3.0,0.299,14.55,22.75,0.284,0.625,13.698,43.852,23.904,9.955
17,NGC 0718,NGC0718,3.0,0.247,12.677,3.45,3.296,0.632,11.652,23.416,20.495,34.322
18,NGC 0864,NGC0864,3.0,0.027,14.847,1.247,1.654,0.93,11.008,34.809,20.712,24.75
19,NGC 0895,NGC0895,3.0,,,,,0.902,11.696,26.994,20.848,18.968
20,NGC 0908,NGC0908,2.0,0.049,13.013,3.326,1.375,0.951,9.762,35.588,19.514,
21,NGC 0936,NGC0936,3.0,0.195,11.275,7.798,1.897,0.697,9.888,43.563,20.079,64.559
22,NGC 1042,NGC1042,3.0,0.02,15.133,4.945,0.862,0.974,10.92,47.162,21.283,
23,NGC 1073,NGC1073,2.0,,,,,0.942,11.133,49.344,21.595,34.34
24,NGC 1079,NGC1079,4.0,0.133,13.142,4.496,1.227,0.738,11.276,22.78,20.059,29.25
25,NGC 1084,NGC1084,2.0,0.037,13.75,2.236,1.214,0.963,10.208,19.635,18.668,
26,NGC 1097,NGC1097,4.0,0.225,10.242,12.35,0.191,0.562,9.251,81.905,20.813,97.5
27,NGC 1087,NGC1087,2.0,,,,,0.951,10.765,26.414,19.87,9.576
28,NGC 1187,NGC1187,3.0,0.086,13.064,1.462,2.079,0.901,10.509,34.402,20.187,34.5
29,NGC 1232,NGC1232,3.0,0.022,13.814,7.162,1.28,0.96,9.728,51.739,20.293,43.92
30,NGC 1300,NGC1300,3.0,0.073,12.8,4.335,1.106,0.866,10.084,62.317,21.053,75.0
31,NGC 1302,NGC1302,4.0,0.393,11.241,18.014,4.23,0.538,10.905,40.103,20.916,47.88
32,NGC 1309,NGC1309,3.0,,,,,0.929,11.463,13.723,19.145,18.28
33,NGC 1326,NGC1326,1.0,0.318,11.224,6.004,1.167,0.979,13.88,20.322,22.415,16.5
34,NGC 1350,NGC1350,4.0,0.16,11.744,7.859,1.3,0.734,10.091,51.064,20.627,60.0
35,IC 1954,IC1954,2.0,,,,,0.97,11.19,23.726,20.062,9.296
36,NGC 1365,NGC1365,4.0,0.25,10.204,12.64,0.857,0.538,9.366,95.054,21.251,90.0
37,NGC 1371,NGC1367,3.0,0.138,12.382,7.002,2.733,0.803,10.472,34.682,20.168,41.863
38,NGC 1385,NGC1385,3.0,,,,,0.683,11.083,28.695,20.367,12.389
39,NGC 1398,NGC1398,3.0,0.195,10.819,9.599,2.233,0.694,9.445,54.641,20.128,48.75
40,NGC 1433,NGC1433,3.0,0.14,11.547,6.678,1.379,0.746,9.703,63.919,20.727,78.0
41,NGC 1493,NGC1493,3.0,,,,,0.968,11.295,29.735,20.656,25.006
42,NGC 1511,NGC1511,1.0,0.12,15.672,4.132,0.917,1.0,14.897,21.216,23.526,25.726
