,name,method,bar,kind,bands,link,paper_name,cr,err_cr_l,err_cr_r,cr_l,cr_r,err_range,altname,r25,r25_NED
0,NGC428,F-B,False,ISM,"Halpha, HI",,F-B works,5.80,2.20,2.20,3.60,8.00,4.40,NGC 0428,84.55,122.20
1,NGC428,F-B,False,ISM,"Halpha, HI",,F-B works,17.60,3.10,3.10,14.50,20.70,6.20,NGC 0428,84.55,122.20
2,NGC428,F-B,False,ISM,"Halpha, HI",,F-B works,59.50,3.90,3.90,55.60,63.40,7.80,NGC 0428,84.55,122.20
3,NGC428,F-B,False,ISM,"Halpha, HI",,F-B works,115.60,2.20,2.20,113.40,117.80,4.40,NGC 0428,84.55,122.20
4,NGC428,F-B,False,ISM,"Halpha, HI",,F-B works,144.70,2.20,2.20,142.50,146.90,4.40,NGC 0428,84.55,122.20
5,NGC3344,F-B,False,ISM,"Halpha, HI",,F-B works,58.70,3.80,3.80,54.90,62.50,7.60,NGC 3344,200.97,212.40
6,NGC3344,F-B,False,ISM,"Halpha, HI",,F-B works,74.40,1.90,1.90,72.50,76.30,3.80,NGC 3344,200.97,212.40
7,NGC3344,F-B,False,ISM,"Halpha, HI",,F-B works,102.80,2.30,2.30,100.50,105.10,4.60,NGC 3344,200.97,212.40
8,NGC3344,F-B,False,ISM,"Halpha, HI",,F-B works,127.30,2.30,2.30,125.00,129.60,4.60,NGC 3344,200.97,212.40
9,NGC3726,F-B,False,ISM,"Halpha, HI",,F-B works,25.20,2.80,2.80,22.40,28.00,5.60,NGC 3726,169.48,185.00
10,NGC3726,F-B,False,ISM,"Halpha, HI",,F-B works,63.00,2.90,2.90,60.10,65.90,5.80,NGC 3726,169.48,185.00
11,NGC3726,F-B,False,ISM,"Halpha, HI",,F-B works,100.10,3.20,3.20,96.90,103.30,6.40,NGC 3726,169.48,185.00
12,NGC3726,F-B,False,ISM,"Halpha, HI",,F-B works,122.40,3.20,3.20,119.20,125.60,6.40,NGC 3726,169.48,185.00
13,NGC5427,F-B,False,ISM,"Halpha, HI",,F-B works,15.70,2.30,2.30,13.40,18.00,4.60,NGC 5427,108.17,84.55
14,NGC5427,F-B,False,ISM,"Halpha, HI",,F-B works,23.50,0.80,0.80,22.70,24.30,1.60,NGC 5427,108.17,84.55
15,NGC5427,F-B,False,ISM,"Halpha, HI",,F-B works,47.30,2.10,2.10,45.20,49.40,4.20,NGC 5427,108.17,84.55
16,NGC5427,F-B,False,ISM,"Halpha, HI",,F-B works,64.50,0.90,0.90,63.60,65.40,1.80,NGC 5427,108.17,84.55
17,NGC5676,F-B,False,ISM,"Halpha, HI",,F-B works,18.40,1.90,1.90,16.50,20.30,3.80,NGC 5676,107.68,119.45
18,NGC5676,F-B,False,ISM,"Halpha, HI",,F-B works,32.10,1.70,1.70,30.40,33.80,3.40,NGC 5676,107.68,119.45
19,NGC5676,F-B,False,ISM,"Halpha, HI",,F-B works,54.40,2.40,2.40,52.00,56.80,4.80,NGC 5676,107.68,119.45
20,NGC5676,F-B,False,ISM,"Halpha, HI",,F-B works,76.50,4.60,4.60,71.90,81.10,9.20,NGC 5676,107.68,119.45
21,NGC7479,F-B,False,ISM,"Halpha, HI",,F-B works,13.20,2.80,2.80,10.40,16.00,5.60,NGC 7479,109.43,122.20
22,NGC7479,F-B,False,ISM,"Halpha, HI",,F-B works,35.30,5.20,5.20,30.10,40.50,10.40,NGC 7479,109.43,122.20
23,NGC7479,F-B,False,ISM,"Halpha, HI",,F-B works,55.80,4.80,4.80,51.00,60.60,9.60,NGC 7479,109.43,122.20
24,NGC7479,F-B,False,ISM,"Halpha, HI",,F-B works,80.80,4.90,4.90,75.90,85.70,9.80,NGC 7479,109.43,122.20
25,NGC7479,F-B,False,ISM,"Halpha, HI",,F-B works,98.30,3.10,3.10,95.20,101.40,6.20,NGC 7479,109.43,122.20
26,NGC7479,F-B,False,ISM,"Halpha, HI",,F-B works,123.10,3.00,3.00,120.10,126.10,6.00,NGC 7479,109.43,122.20
27,NGC7741,F-B,False,ISM,"Halpha, HI",,F-B works,36.80,3.60,3.60,33.20,40.40,7.20,NGC 7741,108.92,130.95
28,NGC7741,F-B,False,ISM,"Halpha, HI",,F-B works,66.30,1.90,1.90,64.40,68.20,3.80,NGC 7741,108.92,130.95
29,NGC7741,F-B,False,ISM,"Halpha, HI",,F-B works,77.40,4.50,4.50,72.90,81.90,9.00,NGC 7741,108.92,130.95
30,NGC7741,F-B,False,ISM,"Halpha, HI",,F-B works,95.30,2.70,2.70,92.60,98.00,5.40,NGC 7741,108.92,130.95
31,NGC4321,F-B,False,ISM,"Halpha, HI",,F-B works,31.80,3.40,3.40,28.40,35.20,6.80,MESSIER 100,182.86,222.40
32,NGC4321,F-B,False,ISM,"Halpha, HI",,F-B works,33.10,10.60,10.60,22.50,43.70,21.20,MESSIER 100,182.86,222.40
33,NGC4321,F-B,False,ISM,"Halpha, HI",,F-B works,76.50,6.80,6.80,69.70,83.30,13.60,MESSIER 100,182.86,222.40
34,NGC4321,F-B,False,ISM,"Halpha, HI",,F-B works,108.80,10.30,10.30,98.50,119.10,20.60,MESSIER 100,182.86,222.40
35,NGC4321,F-B,False,ISM,"Halpha, HI",,F-B works,97.00,2.20,2.20,94.80,99.20,4.40,MESSIER 100,182.86,222.40
36,NGC4321,F-B,False,ISM,"Halpha, HI",,F-B works,123.50,2.10,2.10,121.40,125.60,4.20,MESSIER 100,182.86,222.40
37,NGC4321,F-B,False,ISM,"Halpha, HI",,F-B works,147.90,10.70,10.70,137.20,158.60,21.40,MESSIER 100,182.86,222.40
38,NGC4321,F-B,False,ISM,"Halpha, HI",,F-B works,166.30,6.00,6.00,160.30,172.30,12.00,MESSIER 100,182.86,222.40
39,NGC4321,F-B,False,ISM,"Halpha, HI",,F-B works,188.20,9.50,9.50,178.70,197.70,19.00,MESSIER 100,182.86,222.40
40,UGC508,F-B,False,ISM,"Halpha, HI",,F-B works,7.98,1.80,1.80,6.18,9.78,3.60,NGC 0266,85.14,88.55
41,UGC508,F-B,False,ISM,"Halpha, HI",,F-B works,25.60,1.80,1.80,23.80,27.40,3.60,NGC 0266,85.14,88.55
42,UGC508,F-B,False,ISM,"Halpha, HI",,F-B works,37.30,2.40,2.40,34.90,39.70,4.80,NGC 0266,85.14,88.55
43,UGC508,F-B,False,ISM,"Halpha, HI",,F-B works,51.80,2.30,2.30,49.50,54.10,4.60,NGC 0266,85.14,88.55
44,UGC508,F-B,False,ISM,"Halpha, HI",,F-B works,65.90,4.10,4.10,61.80,70.00,8.20,NGC 0266,85.14,88.55
45,UGC763,F-B,False,ISM,"Halpha, HI",,F-B works,40.60,3.70,3.70,36.90,44.30,7.40,NGC 0428,84.55,122.20
46,UGC763,F-B,False,ISM,"Halpha, HI",,F-B works,51.90,1.90,1.90,50.00,53.80,3.80,NGC 0428,84.55,122.20
47,UGC763,F-B,False,ISM,"Halpha, HI",,F-B works,98.60,1.90,1.90,96.70,100.50,3.80,NGC 0428,84.55,122.20
48,UGC763,F-B,False,ISM,"Halpha, HI",,F-B works,129.10,1.90,1.90,127.20,131.00,3.80,NGC 0428,84.55,122.20
49,UGC1256,F-B,False,ISM,"Halpha, HI",,F-B works,10.90,1.90,1.90,9.00,12.80,3.80,NGC 0672,210.44,217.35
50,UGC1256,F-B,False,ISM,"Halpha, HI",,F-B works,36.60,3.00,3.00,33.60,39.60,6.00,NGC 0672,210.44,217.35
51,UGC1256,F-B,False,ISM,"Halpha, HI",,F-B works,58.70,1.70,1.70,57.00,60.40,3.40,NGC 0672,210.44,217.35
52,UGC1256,F-B,False,ISM,"Halpha, HI",,F-B works,90.70,4.40,4.40,86.30,95.10,8.80,NGC 0672,210.44,217.35
53,UGC1256,F-B,False,ISM,"Halpha, HI",,F-B works,113.70,6.30,6.30,107.40,120.00,12.60,NGC 0672,210.44,217.35
54,UGC1317,F-B,False,ISM,"Halpha, HI",,F-B works,10.50,1.50,1.50,9.00,12.00,3.00,NGC 0674,,134.00
55,UGC1317,F-B,False,ISM,"Halpha, HI",,F-B works,26.30,5.10,5.10,21.20,31.40,10.20,NGC 0674,,134.00
56,UGC1317,F-B,False,ISM,"Halpha, HI",,F-B works,48.20,1.50,1.50,46.70,49.70,3.00,NGC 0674,,134.00
57,UGC1317,F-B,False,ISM,"Halpha, HI",,F-B works,66.10,2.30,2.30,63.80,68.40,4.60,NGC 0674,,134.00
58,UGC1437,F-B,False,ISM,"Halpha, HI",,F-B works,4.10,1.90,1.90,2.20,6.00,3.80,NGC 0753,41.41,75.35
59,UGC1437,F-B,False,ISM,"Halpha, HI",,F-B works,31.30,3.80,3.80,27.50,35.10,7.60,NGC 0753,41.41,75.35
60,UGC1437,F-B,False,ISM,"Halpha, HI",,F-B works,44.20,3.50,3.50,40.70,47.70,7.00,NGC 0753,41.41,75.35
61,UGC1437,F-B,False,ISM,"Halpha, HI",,F-B works,57.20,2.70,2.70,54.50,59.90,5.40,NGC 0753,41.41,75.35
62,UGC1736,F-B,False,ISM,"Halpha, HI",,F-B works,5.80,2.20,2.20,3.60,8.00,4.40,NGC 0864,111.72,140.30
63,UGC1736,F-B,False,ISM,"Halpha, HI",,F-B works,29.70,3.60,3.60,26.10,33.30,7.20,NGC 0864,111.72,140.30
64,UGC1736,F-B,False,ISM,"Halpha, HI",,F-B works,56.10,2.10,2.10,54.00,58.20,4.20,NGC 0864,111.72,140.30
65,UGC1736,F-B,False,ISM,"Halpha, HI",,F-B works,84.40,2.30,2.30,82.10,86.70,4.60,NGC 0864,111.72,140.30
66,UGC1736,F-B,False,ISM,"Halpha, HI",,F-B works,102.10,2.10,2.10,100.00,104.20,4.20,NGC 0864,111.72,140.30
67,UGC1913,F-B,False,ISM,"Halpha, HI",,F-B works,36.10,1.40,1.40,34.70,37.50,2.80,NGC 0925,321.46,314.15
68,UGC1913,F-B,False,ISM,"Halpha, HI",,F-B works,47.60,1.30,1.30,46.30,48.90,2.60,NGC 0925,321.46,314.15
69,UGC1913,F-B,False,ISM,"Halpha, HI",,F-B works,96.00,1.40,1.40,94.60,97.40,2.80,NGC 0925,321.46,314.15
70,UGC1913,F-B,False,ISM,"Halpha, HI",,F-B works,118.50,3.80,3.80,114.70,122.30,7.60,NGC 0925,321.46,314.15
71,UGC2080,F-B,False,ISM,"Halpha, HI",,F-B works,32.10,1.30,1.30,30.80,33.40,2.60,IC 0239,127.39,137.15
72,UGC2080,F-B,False,ISM,"Halpha, HI",,F-B works,74.80,3.40,3.40,71.40,78.20,6.80,IC 0239,127.39,137.15
73,UGC2141,F-B,False,ISM,"Halpha, HI",,F-B works,13.50,1.80,1.80,11.70,15.30,3.60,NGC 1012,63.11,75.35
74,UGC2141,F-B,False,ISM,"Halpha, HI",,F-B works,38.30,1.90,1.90,36.40,40.20,3.80,NGC 1012,63.11,75.35
75,UGC2141,F-B,False,ISM,"Halpha, HI",,F-B works,47.90,1.10,1.10,46.80,49.00,2.20,NGC 1012,63.11,75.35
76,UGC2141,F-B,False,ISM,"Halpha, HI",,F-B works,61.60,1.80,1.80,59.80,63.40,3.60,NGC 1012,63.11,75.35
77,UGC2141,F-B,False,ISM,"Halpha, HI",,F-B works,70.20,2.20,2.20,68.00,72.40,4.40,NGC 1012,63.11,75.35
78,UGC2193,F-B,False,ISM,"Halpha, HI",,F-B works,26.60,4.60,4.60,22.00,31.20,9.20,NGC 1058,73.98,90.60
79,UGC2193,F-B,False,ISM,"Halpha, HI",,F-B works,47.60,1.70,1.70,45.90,49.30,3.40,NGC 1058,73.98,90.60
80,UGC2193,F-B,False,ISM,"Halpha, HI",,F-B works,55.60,1.70,1.70,53.90,57.30,3.40,NGC 1058,73.98,90.60
81,UGC2855,F-B,False,ISM,"Halpha, HI",,F-B works,11.50,1.70,1.70,9.80,13.20,3.40,UGC 02855,106.20,130.95
82,UGC2855,F-B,False,ISM,"Halpha, HI",,F-B works,41.20,6.40,6.40,34.80,47.60,12.80,UGC 02855,106.20,130.95
83,UGC2855,F-B,False,ISM,"Halpha, HI",,F-B works,70.40,6.30,6.30,64.10,76.70,12.60,UGC 02855,106.20,130.95
84,UGC2855,F-B,False,ISM,"Halpha, HI",,F-B works,95.50,5.90,5.90,89.60,101.40,11.80,UGC 02855,106.20,130.95
85,UGC3013,F-B,False,ISM,"Halpha, HI",,F-B works,9.00,2.40,2.40,6.60,11.40,4.80,NGC 1530,54.59,137.15
86,UGC3013,F-B,False,ISM,"Halpha, HI",,F-B works,43.60,1.50,1.50,42.10,45.10,3.00,NGC 1530,54.59,137.15
87,UGC3013,F-B,False,ISM,"Halpha, HI",,F-B works,53.20,3.70,3.70,49.50,56.90,7.40,NGC 1530,54.59,137.15
88,UGC3013,F-B,False,ISM,"Halpha, HI",,F-B works,67.90,2.60,2.60,65.30,70.50,5.20,NGC 1530,54.59,137.15
89,UGC3013,F-B,False,ISM,"Halpha, HI",,F-B works,76.50,3.20,3.20,73.30,79.70,6.40,NGC 1530,54.59,137.15
90,UGC3013,F-B,False,ISM,"Halpha, HI",,F-B works,86.90,2.80,2.80,84.10,89.70,5.60,NGC 1530,54.59,137.15
91,UGC3013,F-B,False,ISM,"Halpha, HI",,F-B works,100.10,2.70,2.70,97.40,102.80,5.40,NGC 1530,54.59,137.15
