,cr,cr_range,methods,cover_CR,far_cr,cr_number,r_25,consistence,Spiral_type,Hubble_type,Bar,dist_Mpc
2MASX J14192411+4554021,[12.53],"([4.07], [43.36])",['T-W'],2.1635462555066076,2.3876651982378854,1,18.16,Nan,Nan,S0-a,True,119.67405313072443
2MASX J14213483+4021294,[24.05],"([15.52], [37.48])",['T-W'],1.0593342981186684,1.808007718282682,1,20.73,Nan,Nan,S?,False,285.75905433749494
CGCG 008-010,[21.9],"([20.3], [23.5])",['gaps'],0.1224177505738332,0.8990053557765876,1,26.14,Nan,Nan,Sb,False,161.9571030955037
CGCG 013-075,"[12.6, 21.2]","([12.0, 21.2], [13.2, 21.2])","['gaps', 'rings']",0.04588910133843205,0.8107074569789675,2,26.15,14.333333333333357,Nan,S0-a,True,112.30523475410853
CGCG 039-041,[21.29],"([21.29], [21.29])",['rings'],0.0,0.6471124620060791,1,32.9,Nan,Nan,S0-a,True,126.41540489485809
CGCG 065-002,[12.9],"([12.2], [13.6])",['gaps'],0.06026689625484294,0.5854498493327593,1,23.23,Nan,Nan,S0-a,True,80.79788636830875
CGCG 067-004,[13.5],"([12.6], [14.4])",['gaps'],0.09031610637230314,0.7225288509784246,1,19.93,Nan,Nan,SBa,True,188.53847936139465
CGCG 073-053,[10.3],"([10.0], [10.6])",['gaps'],0.030303030303030276,0.5353535353535354,1,19.8,Nan,Nan,S0,False,105.00258721108852
CGCG 106-036,[17.7],"([16.5], [18.9])",['gaps'],0.09999999999999998,0.7875,1,24.0,Nan,Nan,Sbc,False,105.00258721108852
CGCG 161-122,[11.41],"([9.71], [13.33])",['T-W'],0.14509018036072147,0.5342685370741483,1,24.95,Nan,Nan,SBb,True,129.53883889748872
CGCG 180-062,[22.48],"([22.48], [22.48])",['rings'],0.0,0.8596558317399619,1,26.15,Nan,Nan,Sab,True,97.09570065288246
CGCG 185-014,[11.4],"([11.2], [11.6])",['gaps'],0.012857602057216366,0.37287045965927357,1,31.11,Nan,Nan,Sa,True,115.98451211901681
CGCG 197-024,[2.48],"([2.06], [2.89])",['T-W'],0.02792732166890982,0.09724091520861373,1,29.72,Nan,Nan,SBbc,True,160.69412530128787
CGCG 206-027,[6.16],"([4.89], [7.65])",['T-W'],0.13326895219700632,0.3693867696764848,1,20.71,Nan,Nan,SBb,True,138.16562311673272
CGCG 208-013,[15.53],"([15.53], [15.53])",['rings'],0.0,0.7036701404621658,1,22.07,Nan,Nan,SBab,True,111.0708255918865
CGCG 213-005,[10.4],"([6.0], [32.13])",['T-W'],0.8410041841004186,1.034116511103959,1,31.07,Nan,Nan,SBa,True,109.84998450583755
CGCG 218-022,[5.6],"([4.85], [6.55])",['T-W'],0.0742034046268005,0.28590135312090786,1,22.91,Nan,Nan,Sbc,False,121.50663676334169
CGCG 223-023,[27.71],"([11.35], [104.14])",['T-W'],6.312244897959184,7.084353741496599,1,14.7,Nan,Nan,SBbc,True,174.5822152920504
CGCG 224-065,[21.67],"([14.42], [63.37])",['T-W'],2.100858369098712,2.719742489270386,1,23.3,Nan,Nan,SBb,True,138.16562311673272
CGCG 224-086,[12.08],"([9.91], [14.26])",['T-W'],0.13405238828967636,0.43944530046224956,1,32.45,Nan,Nan,SBc,True,134.46213415344886
CGCG 225-011,[4.1],"([2.27], [9.29])",['T-W'],0.24223602484472048,0.32056590752242925,1,28.98,Nan,Nan,SBc,True,285.75905433749494
CGCG 240-051,[4.05],"([2.34], [10.01])",['T-W'],0.4182115594329334,0.5458015267175572,1,18.34,Nan,Nan,Sc,False,112.30523475410853
CGCG 241-058,[5.88],"([3.75], [11.75])",['T-W'],0.40526849037487334,0.5952380952380952,1,19.74,Nan,Nan,Sb,False,131.40140230390398
CGCG 241-078,[7.61],"([6.67], [8.55])",['T-W'],0.09251968503937014,0.4207677165354331,1,20.32,Nan,Nan,SBb,True,112.30523475410853
CGCG 244-013,[21.23],"([21.23], [21.23])",['rings'],0.0,0.6266233766233766,1,33.88,Nan,Nan,SBb,True,112.30523475410853
CGCG 250-045,[3.75],"([2.78], [4.93])",['T-W'],0.08150113722517058,0.18688400303260044,1,26.38,Nan,Nan,SBbc,True,195.61402981256484
