obj_name,article_name,cr,err_cr,cr_range,err_range,method,paper_name,r_25,cr_bar,bands,kind,link
2MASX J14192411+4554021,J141924.05+455402.8,12.53,"(8.46, 30.83)","(4.07, 43.36)",39.29,T-W,Cuomo et al. (2020),18.16,True,"CALIFA,MANGA,different",stellar,https://arxiv.org/pdf/2003.07455.pdf
2MASX J14213483+4021294,J142134.86+402129.1,24.05,"(8.53, 13.44)","(15.52, 37.48)",21.97,T-W,Cuomo et al. (2020),20.73,True,"CALIFA,MANGA,different",stellar,https://arxiv.org/pdf/2003.07455.pdf
CGCG 008-010,CGCG8-10,21.9,"(1.6, 1.6)","(20.3, 23.5)",3.2,gaps,Buta (2017),26.14,True,SDSS,stellar,https://ui.adsabs.harvard.edu/abs/2017MNRAS.470.3819B/abstract
CGCG 013-075,CGCG13-75,12.6,"(0.6, 0.6)","(12.0, 13.2)",1.2,gaps,Buta (2017),26.15,True,SDSS,stellar,https://ui.adsabs.harvard.edu/abs/2017MNRAS.470.3819B/abstract
CGCG 013-075,J120609.11-025653.2,21.2,"(0.0, 0.0)","(21.2, 21.2)",0.0,rings,Perez et al. (2012),26.15,True,SDSS,stellar,https://arxiv.org/pdf/1202.1929.pdf
CGCG 039-041,J111044.88+043039.0,21.29,"(0.0, 0.0)","(21.29, 21.29)",0.0,rings,Perez et al. (2012),32.9,True,SDSS,stellar,https://arxiv.org/pdf/1202.1929.pdf
CGCG 065-002,CGCG65-2,12.9,"(0.7, 0.7)","(12.2, 13.6)",1.4,gaps,Buta (2017),23.23,True,SDSS,stellar,https://ui.adsabs.harvard.edu/abs/2017MNRAS.470.3819B/abstract
CGCG 067-004,CGCG67-4,13.5,"(0.9, 0.9)","(12.6, 14.4)",1.8,gaps,Buta (2017),19.93,True,SDSS,stellar,https://ui.adsabs.harvard.edu/abs/2017MNRAS.470.3819B/abstract
CGCG 073-053,CGCG73-53,10.3,"(0.3, 0.3)","(10.0, 10.6)",0.6,gaps,Buta (2017),19.8,True,SDSS,stellar,https://ui.adsabs.harvard.edu/abs/2017MNRAS.470.3819B/abstract
CGCG 106-036,PGC54897,17.7,"(1.2, 1.2)","(16.5, 18.9)",2.4,gaps,Buta (2017),24.0,True,SDSS,stellar,https://ui.adsabs.harvard.edu/abs/2017MNRAS.470.3819B/abstract
CGCG 161-122,J134145.21+270016.9,11.41,"(1.7, 1.92)","(9.71, 13.33)",3.63,T-W,Cuomo et al. (2020),24.95,True,"CALIFA,MANGA,different",stellar,https://arxiv.org/pdf/2003.07455.pdf
CGCG 180-062,J091426.23+360644.1,22.48,"(0.0, 0.0)","(22.48, 22.48)",0.0,rings,Perez et al. (2012),26.15,True,SDSS,stellar,https://arxiv.org/pdf/1202.1929.pdf
